Vol,Rev,Exp,Sector,EmpCnt,HQ,MNC,StockID,GST,Started
Kolkata_FMCG,925,874.4,676,Pub,,Kol,1,KFMC,Goods,Jan 1920
Bombay_Sporting,931,,615,,154,Mum,0,SPRT,Services,Mar 1943
NCR_Leagles,931,863.5,605,,1935,NCR,0,NCRL,Services,Feb 1960
Bangalore_Breweries,966,805,895,Pvt,119,Blr,1,BREW,Goods,Oct 1971
Chennai_Chemicals,966,,608,,1656,Che,1,CHEM,Goods,Aug 1928
Indi_Services,954,733,609,Gov,13023,NCR,0,INDI,Services,Mar 1920
Bombay_Finance,899,917,674,Pub,1443,Mum,0,BFIN,Services,Apr 1925
Chennai_Shipping,992,821,665,,1154,Che,1,SHIP,Services,Nov 1930
Bangalore_Systems,900,881.6,650,Gov,1361,Blr,0,BSYS,Services,Apr 1950
Delhi_Systems,945,834.23,789,Pvt,1873,,1,DSYS,Goods,Jan 1994
